case,n,method,scope,status,epsilon,width,degree,residual_upper,distance_upper,bound_upper,construction_seconds,proposal_seconds,total_seconds,certified,pruned,not_certified
skew,64,corrected,standard,certified,"[5, 64]",,,0.13487331036952216,0.019744989802498288,0.15461830017202044,0.00271569995675236,0.014858499984256923,0.3545289000030607,4,33,0
skew,128,corrected,standard,certified,"[7, 128]",,,0.0467704446010276,0.006307316791297265,0.05307776139232486,0.005629000021144748,0.018469100003130734,0.6442587999626994,3,34,0
skew,256,corrected,standard,certified,"[1, 32]",,,0.01683944966484779,0.0023591133232998703,0.019198562988147663,0.010016000014729798,0.022303399979136884,1.0875682000769302,2,35,0
skew,512,corrected,standard,certified,"[5, 256]",,,0.006972115004191815,0.0015504879582105972,0.008522602962402412,0.0197317999554798,0.02963530004490167,1.9012218000134453,1,36,0
skew_strong,64,polynomial,standard,certified,,5,3,0.0725409981537177,0.01576048785054194,0.08830148600425963,0.0027051999932155013,0.001988500007428229,0.10437650000676513,1,28,1
skew_strong,128,polynomial,standard,certified,,6,3,0.027748321953377966,0.008440540651567746,0.03618886260494571,0.005201100022532046,0.0022119999630376697,0.2074381000129506,1,29,0
skew_strong,512,polynomial,standard,certified,,9,3,0.006931693967660471,0.0010430454676457368,0.007974739435306208,0.019755200017243624,0.0026988000608980656,0.9964355000993237,5,24,1
skew_strong,64,uncorrected,standard,certified,"[1, 32]",,,0.11266215244891632,0.046015052566409295,0.15867720501532562,0.002779899979941547,0.013310899958014488,0.3362308000214398,1,36,0
skew_strong,128,uncorrected,standard,certified,"[5, 256]",,,0.09533800562884272,0.028794013634829765,0.12413201926367248,0.005223499960266054,0.01720440003555268,0.568775900057517,1,36,0
skew_strong,256,uncorrected,standard,certified,"[7, 512]",,,0.07222193983024632,0.02024235865707946,0.09246429848732578,0.010129399946890771,0.02272350003477186,1.1394585999660194,3,33,1
skew_strong,512,uncorrected,standard,certified,"[9, 1024]",,,0.037108124832886016,0.013046444873234914,0.05015456970612093,0.019317999947816133,0.02954340004362166,1.9848995000356808,1,36,0
skew_strong,1024,uncorrected,standard,certified,"[5, 1024]",,,0.0209526257715349,0.007258104354011179,0.02821073012554608,0.03937050001695752,0.04569870000705123,3.973671399988234,2,35,0
skew_strong,2048,uncorrected,standard,certified,"[5, 2048]",,,0.011196881194829146,0.0036316091977665515,0.014828490392595699,0.08810319995973259,0.08591270004399121,7.541971400030889,1,36,0
skew_strong,4096,uncorrected,standard,certified,"[5, 4096]",,,0.005313967423670376,0.0018164384820085141,0.00713040590567889,0.15809569996781647,0.18884199997410178,14.733660700032488,1,36,0
skew_strong,64,corrected,standard,certified,"[9, 128]",,,0.13599322453994786,0.015070724998161079,0.15106394953810892,0.002728799940086901,0.01347090001218021,0.36436999996658415,2,35,0
skew_strong,128,corrected,standard,certified,"[13, 256]",,,0.06737395289427572,0.011305201221234878,0.0786791541155106,0.005211599986068904,0.01748879998922348,0.6177968999836594,3,34,0
skew_strong,256,corrected,standard,certified,"[1, 32]",,,0.026000759116743644,0.00359817530614971,0.029598934422893353,0.010127199930138886,0.02296360000036657,1.2347203999524936,4,32,1
skew_strong,512,corrected,standard,certified,"[17, 1024]",,,0.007475781962555272,0.0013782495494523933,0.008854031512007665,0.01959119993261993,0.029474099981598556,2.1265058999415487,2,35,0
two_peaks,64,polynomial,standard,certified,,4,2,0.11222478622195786,0.00874562659331342,0.12097041281527128,0.0027140999445691705,0.0017711999826133251,0.07370690000243485,1,15,14
two_peaks,128,polynomial,standard,certified,,4,2,0.08567283767348702,0.004520123738557819,0.09019296141204483,0.0052773000206798315,0.0025496999733150005,0.24262760009150952,3,26,1
two_peaks,512,polynomial,standard,certified,,7,2,0.0152464933825635,0.0015619252217393288,0.01680841860430283,0.019998300005681813,0.0031051000114530325,0.8965450000250712,3,26,1
two_peaks,64,uncorrected,standard,certified,"[1, 32]",,,0.22036398129540893,0.06105643273668793,0.2814204140320969,0.002808900084346533,0.0204401999944821,0.43163250002544373,1,33,3
two_peaks,128,uncorrected,standard,certified,"[5, 256]",,,0.15385350797417374,0.038738586783657276,0.192592094757831,0.005338700022548437,0.023368500056676567,0.6863497000886127,2,33,2
two_peaks,256,uncorrected,standard,certified,"[5, 512]",,,0.1265912482980917,0.019446321775552573,0.14603757007364426,0.010282100061886013,0.025601099943742156,1.1892006000271067,3,34,0
two_peaks,512,uncorrected,standard,certified,"[9, 1024]",,,0.08256341890518012,0.017539677908839153,0.10010309681401927,0.019497000030241907,0.030672799912281334,2.1038783999392763,3,34,0
two_peaks,1024,uncorrected,standard,certified,"[9, 2048]",,,0.0456517485983477,0.008785570752419217,0.05443731935076691,0.03952480002772063,0.04999660002067685,3.898733300040476,2,35,0
two_peaks,2048,uncorrected,standard,certified,"[11, 4096]",,,0.025016669802563236,0.0053734045429506255,0.03039007434551386,0.07799909997265786,0.10492269997484982,7.87195870000869,2,35,0
two_peaks,4096,uncorrected,standard,certified,"[11, 8192]",,,0.015360258768993912,0.002687835812137377,0.01804809458113129,0.16355500009376556,0.1958383999299258,15.43518660007976,2,35,0
two_peaks,8192,uncorrected,standard,certified,"[7, 8192]",,,0.008505846922314023,0.001710788917312017,0.01021663583962604,0.3214865999761969,0.38816530001349747,30.931170800002292,2,35,0
two_peaks,16384,uncorrected,standard,certified,"[7, 16384]",,,0.004177172538823526,0.0008554819996321006,0.0050326545384556266,0.6256219999631867,0.5728025999851525,60.19675229990389,1,36,0
two_peaks,64,corrected,standard,certified,"[1, 16]",,,0.3654442721133996,0.028783018148283962,0.39422729026168357,0.0026860999641939998,0.020712400088086724,0.4556858000578359,1,33,3
two_peaks,128,corrected,standard,certified,"[11, 256]",,,0.16308830949660505,0.016531253073494744,0.1796195625700998,0.005373500054702163,0.024102999945171177,0.7029047000687569,2,33,2
two_peaks,256,corrected,standard,certified,"[15, 512]",,,0.08024479524586867,0.007398958330925923,0.08764375357679459,0.010024899966083467,0.02575650007929653,1.2091782999923453,3,34,0
two_peaks,512,corrected,standard,certified,"[9, 512]",,,0.02987061562153207,0.002515813071603317,0.032386428693135384,0.019620500039309263,0.030989499995484948,1.9868117000441998,1,36,0
two_peaks,1024,corrected,standard,certified,"[21, 2048]",,,0.011609643737671824,0.0011081672829449162,0.01271781102061674,0.03907500009518117,0.052187299937941134,3.8495591999962926,1,36,0
two_peaks,2048,corrected,standard,certified,"[13, 2048]",,,0.005296355544487392,0.00031400788976416755,0.005610363434251559,0.07868000003509223,0.09484270005486906,7.909071800066158,2,34,1
